"id";"customer_id";"order_date";"status";"total"
"ORD-001000";"CUST-000001";"22.05.2026";"open";"1055,91"
"ORD-001001";"CUST-000001";"06.02.2026";"shipped";"34,41"
"ORD-001002";"CUST-000001";"28.05.2026";"shipped";"1798,95"
"ORD-001003";"CUST-000002";"04.01.2026";"delivered";"705,26"
"ORD-001004";"CUST-000003";"23.01.2026";"shipped";"408,76"
"ORD-001005";"CUST-000003";"06.04.2026";"processing";"605,18"
"ORD-001006";"CUST-000003";"07.07.2026";"shipped";"156,36"
"ORD-001007";"CUST-000003";"01.01.2026";"delivered";"1428,13"
"ORD-001008";"CUST-000003";"19.03.2026";"shipped";"732,58"
"ORD-001009";"CUST-000004";"31.01.2026";"shipped";"1231,7"
"ORD-001010";"CUST-000004";"20.05.2026";"delivered";"542,19"
"ORD-001011";"CUST-000004";"11.06.2026";"shipped";"1899,58"
"ORD-001012";"CUST-000005";"27.04.2026";"open";"527,36"
"ORD-001013";"CUST-000005";"01.07.2026";"processing";"576,21"
"ORD-001014";"CUST-000005";"09.02.2026";"shipped";"591,6"
"ORD-001015";"CUST-000005";"11.04.2026";"open";"467,84"
"ORD-001016";"CUST-000005";"01.06.2026";"shipped";"1896,28"
"ORD-001017";"CUST-000006";"11.07.2026";"shipped";"1880,42"
"ORD-001018";"CUST-000007";"28.05.2026";"delivered";"462,58"
"ORD-001019";"CUST-000007";"14.05.2026";"shipped";"638,02"
"ORD-001020";"CUST-000007";"28.02.2026";"shipped";"1757,63"
"ORD-001021";"CUST-000007";"09.05.2026";"open";"164,4"
"ORD-001022";"CUST-000007";"20.05.2026";"shipped";"1492,83"
"ORD-001023";"CUST-000008";"14.03.2026";"open";"677,8"
"ORD-001024";"CUST-000008";"18.03.2026";"shipped";"846,62"
"ORD-001025";"CUST-000008";"29.03.2026";"delivered";"596,31"
"ORD-001026";"CUST-000008";"15.06.2026";"shipped";"1993,67"
"ORD-001027";"CUST-000009";"21.01.2026";"shipped";"1783,4"
"ORD-001028";"CUST-000009";"28.02.2026";"processing";"1959,81"
"ORD-001029";"CUST-000009";"10.07.2026";"shipped";"1853,09"
"ORD-001030";"CUST-000010";"26.05.2026";"cancelled";"1567,8"
"ORD-001031";"CUST-000010";"28.01.2026";"processing";"216,16"
"ORD-001032";"CUST-000011";"10.07.2026";"shipped";"1130,06"
"ORD-001033";"CUST-000011";"25.06.2026";"shipped";"413,03"
"ORD-001034";"CUST-000011";"23.07.2026";"shipped";"414,25"
"ORD-001035";"CUST-000011";"21.06.2026";"shipped";"1450,05"
"ORD-001036";"CUST-000011";"06.08.2026";"open";"1641,25"
"ORD-001037";"CUST-000012";"17.02.2026";"delivered";"725,9"
"ORD-001038";"CUST-000012";"16.05.2026";"shipped";"1992,58"
"ORD-001039";"CUST-000013";"23.06.2026";"shipped";"374,7"
"ORD-001040";"CUST-000014";"16.06.2026";"cancelled";"770,69"
"ORD-001041";"CUST-000014";"05.05.2026";"shipped";"1351,78"
"ORD-001042";"CUST-000015";"06.02.2026";"open";"211,86"
"ORD-001043";"CUST-000015";"26.07.2026";"shipped";"307,16"
"ORD-001044";"CUST-000015";"15.01.2026";"open";"1510,05"
"ORD-001045";"CUST-000015";"07.06.2026";"shipped";"611,86"
"ORD-001046";"CUST-000015";"20.03.2026";"shipped";"966,46"
"ORD-001047";"CUST-000016";"22.05.2026";"processing";"1380,43"
"ORD-001048";"CUST-000016";"23.02.2026";"delivered";"1224,55"
"ORD-001049";"CUST-000017";"02.06.2026";"shipped";"1519,9"
"ORD-001050";"CUST-000017";"18.06.2026";"shipped";"1230,38"
"ORD-001051";"CUST-000017";"15.01.2026";"shipped";"1239,24"
"ORD-001052";"CUST-000018";"20.03.2026";"processing";"785,02"
"ORD-001053";"CUST-000018";"11.08.2026";"shipped";"198,3"
"ORD-001054";"CUST-000019";"25.02.2026";"shipped";"1212,76"
"ORD-001055";"CUST-000020";"28.05.2026";"cancelled";"170,44"
"ORD-001056";"CUST-000020";"14.05.2026";"processing";"1826,36"
"ORD-001057";"CUST-000020";"25.06.2026";"shipped";"1401,81"
"ORD-001058";"CUST-000020";"11.03.2026";"cancelled";"1097,03"
"ORD-001059";"CUST-000021";"02.08.2026";"shipped";"1771,52"
"ORD-001060";"CUST-000021";"25.05.2026";"shipped";"1194,04"
"ORD-001061";"CUST-000022";"06.03.2026";"shipped";"929,35"
"ORD-001062";"CUST-000022";"09.06.2026";"cancelled";"149,21"
"ORD-001063";"CUST-000022";"09.08.2026";"shipped";"1440,89"
"ORD-001064";"CUST-000022";"23.05.2026";"shipped";"1461,15"
"ORD-001065";"CUST-000022";"14.02.2026";"processing";"1160,49"
"ORD-001066";"CUST-000023";"12.01.2026";"processing";"1679,39"
"ORD-001067";"CUST-000023";"26.02.2026";"open";"1284,42"
"ORD-001068";"CUST-000023";"22.02.2026";"shipped";"82,69"
"ORD-001069";"CUST-000024";"21.07.2026";"shipped";"1862,19"
"ORD-001070";"CUST-000024";"31.07.2026";"shipped";"817,55"
"ORD-001071";"CUST-000024";"28.03.2026";"shipped";"279,53"
"ORD-001072";"CUST-000024";"04.01.2026";"shipped";"485,77"
"ORD-001073";"CUST-000025";"21.07.2026";"shipped";"1332,05"
"ORD-001074";"CUST-000026";"02.03.2026";"shipped";"748,83"
"ORD-001075";"CUST-000026";"09.03.2026";"open";"568,42"
"ORD-001076";"CUST-000027";"20.06.2026";"cancelled";"1548,33"
"ORD-001077";"CUST-000027";"30.05.2026";"cancelled";"349,89"
"ORD-001078";"CUST-000028";"10.07.2026";"shipped";"34,55"
"ORD-001079";"CUST-000028";"15.06.2026";"delivered";"1025,29"
"ORD-001080";"CUST-000029";"21.03.2026";"shipped";"224,47"
"ORD-001081";"CUST-000029";"27.04.2026";"shipped";"20,22"
"ORD-001082";"CUST-000029";"10.06.2026";"cancelled";"196,61"
"ORD-001083";"CUST-000029";"20.07.2026";"shipped";"1194,7"
"ORD-001084";"CUST-000029";"07.02.2026";"shipped";"464,62"
"ORD-001085";"CUST-000030";"17.02.2026";"open";"567,8"
"ORD-001086";"CUST-000030";"22.04.2026";"open";"1786,43"
"ORD-001087";"CUST-000030";"08.05.2026";"cancelled";"1248,9"
"ORD-001088";"CUST-000030";"25.06.2026";"processing";"1226,92"
"ORD-001089";"CUST-000030";"11.06.2026";"processing";"713,0"
"ORD-001090";"CUST-000031";"29.04.2026";"shipped";"314,44"
"ORD-001091";"CUST-000031";"03.04.2026";"open";"897,48"
"ORD-001092";"CUST-000032";"21.01.2026";"processing";"1838,03"
"ORD-001093";"CUST-000032";"02.04.2026";"open";"1544,76"
"ORD-001094";"CUST-000032";"07.06.2026";"shipped";"659,54"
"ORD-001095";"CUST-000032";"16.02.2026";"shipped";"572,85"
"ORD-001096";"CUST-000032";"12.03.2026";"shipped";"1589,33"
"ORD-001097";"CUST-000033";"29.06.2026";"shipped";"415,02"
"ORD-001098";"CUST-000033";"22.06.2026";"shipped";"1965,38"
"ORD-001099";"CUST-000033";"28.07.2026";"shipped";"121,35"
"ORD-001100";"CUST-000033";"15.07.2026";"cancelled";"1015,13"
"ORD-001101";"CUST-000033";"12.06.2026";"shipped";"390,57"
"ORD-001102";"CUST-000034";"08.08.2026";"shipped";"144,2"
"ORD-001103";"CUST-000034";"26.06.2026";"shipped";"1195,99"
"ORD-001104";"CUST-000034";"06.07.2026";"shipped";"496,42"
"ORD-001105";"CUST-000035";"11.02.2026";"shipped";"1182,35"
"ORD-001106";"CUST-000035";"11.04.2026";"open";"1913,2"
"ORD-001107";"CUST-000036";"24.02.2026";"open";"1759,47"
"ORD-001108";"CUST-000036";"11.01.2026";"open";"816,64"
"ORD-001109";"CUST-000036";"12.01.2026";"shipped";"1065,52"
"ORD-001110";"CUST-000036";"30.04.2026";"shipped";"1192,62"
"ORD-001111";"CUST-000037";"31.07.2026";"delivered";"609,98"
"ORD-001112";"CUST-000037";"16.07.2026";"shipped";"285,14"
"ORD-001113";"CUST-000037";"12.08.2026";"shipped";"1531,52"
"ORD-001114";"CUST-000038";"19.02.2026";"shipped";"758,0"
"ORD-001115";"CUST-000038";"11.03.2026";"delivered";"1594,49"
"ORD-001116";"CUST-000038";"15.04.2026";"processing";"805,22"
"ORD-001117";"CUST-000038";"10.08.2026";"delivered";"14,98"
"ORD-001118";"CUST-000039";"26.02.2026";"processing";"966,94"
"ORD-001119";"CUST-000039";"10.06.2026";"shipped";"1705,16"
"ORD-001120";"CUST-000039";"12.05.2026";"open";"945,87"
"ORD-001121";"CUST-000039";"19.04.2026";"processing";"146,96"
"ORD-001122";"CUST-000039";"11.06.2026";"returned";"185,41"
"ORD-001123";"CUST-000040";"26.01.2026";"shipped";"1843,18"
"ORD-001124";"CUST-000040";"26.05.2026";"shipped";"1768,18"
"ORD-001125";"CUST-000040";"05.02.2026";"processing";"1515,13"
"ORD-001126";"CUST-000041";"14.06.2026";"delivered";"919,77"
"ORD-001127";"CUST-000041";"16.02.2026";"open";"77,18"
"ORD-001128";"CUST-000042";"23.07.2026";"shipped";"1507,59"
"ORD-001129";"CUST-000042";"01.08.2026";"shipped";"826,75"
"ORD-001130";"CUST-000042";"11.08.2026";"shipped";"137,86"
"ORD-001131";"CUST-000043";"22.03.2026";"shipped";"58,68"
"ORD-001132";"CUST-000043";"01.02.2026";"shipped";"534,63"
"ORD-001133";"CUST-000043";"23.03.2026";"delivered";"1196,07"
"ORD-001134";"CUST-000043";"07.01.2026";"processing";"1565,24"
"ORD-001135";"CUST-000044";"18.05.2026";"open";"1960,63"
"ORD-001136";"CUST-000044";"12.01.2026";"processing";"518,15"
"ORD-001137";"CUST-000044";"13.07.2026";"shipped";"72,05"
"ORD-001138";"CUST-000044";"27.07.2026";"shipped";"513,73"
"ORD-001139";"CUST-000045";"09.03.2026";"processing";"1086,04"
"ORD-001140";"CUST-000045";"23.01.2026";"shipped";"1607,49"
"ORD-001141";"CUST-000045";"15.07.2026";"shipped";"1981,65"
"ORD-001142";"CUST-000045";"03.04.2026";"open";"14,33"
"ORD-001143";"CUST-000045";"25.04.2026";"delivered";"1620,47"
"ORD-001144";"CUST-000046";"25.01.2026";"shipped";"1706,94"
