sku,name,price,weight_kg,in_stock
SKU-0001,world,836.66,12.634,False
SKU-0002,rest,828.21,13.663,True
SKU-0003,help,962.95,7.108,True
SKU-0004,contain,560.57,13.971,False
SKU-0005,wrong,913.34,1.228,True
SKU-0006,room,515.75,0.913,True
SKU-0007,beautiful,325.02,9.721,False
SKU-0008,special,649.29,1.615,True
SKU-0009,area,144.2,7.828,True
SKU-0010,list,419.9,11.45,True
SKU-0011,there,959.94,11.555,True
SKU-0012,education,648.29,21.254,True
SKU-0013,degree,874.33,8.437,True
SKU-0014,low,423.58,16.12,True
SKU-0015,among,531.77,1.612,True
SKU-0016,situation,884.52,10.063,True
SKU-0017,fill,432.98,18.121,True
SKU-0018,gun,581.27,4.986,False
SKU-0019,song,129.78,18.879,True
SKU-0020,news,521.43,12.204,False
SKU-0021,from,330.81,11.362,False
SKU-0022,cold,556.1,16.821,False
SKU-0023,receive,47.94,20.536,False
SKU-0024,rule,32.85,1.754,True
SKU-0025,shake,569.74,19.133,True
SKU-0026,speech,491.05,7.405,False
SKU-0027,those,849.2,14.234,True
SKU-0028,require,120.2,3.605,True
SKU-0029,anything,817.45,20.32,False
SKU-0030,just,159.7,16.659,True
SKU-0031,city,656.66,3.722,False
SKU-0032,fish,254.64,22.077,True
SKU-0033,program,708.4,11.488,False
SKU-0034,over,100.15,24.837,True
SKU-0035,choice,713.42,3.461,False
SKU-0036,subject,709.01,11.803,True
SKU-0037,cell,60.88,16.445,False
SKU-0038,create,13.54,4.441,True
SKU-0039,goal,860.99,10.228,False
SKU-0040,improve,647.9,7.045,False
SKU-0041,foreign,6.84,13.535,True
SKU-0042,item,790.62,21.578,False
SKU-0043,charge,844.79,7.309,True
SKU-0044,public,705.53,10.82,True
SKU-0045,treatment,650.15,5.832,True
SKU-0046,floor,331.79,6.579,False
SKU-0047,last,299.98,7.52,True
SKU-0048,police,202.5,20.593,False
SKU-0049,rich,972.61,21.291,True
SKU-0050,attorney,991.85,14.218,False
SKU-0051,short,960.17,11.415,False
SKU-0052,knowledge,479.65,19.337,True
SKU-0053,professional,684.17,9.332,True
SKU-0054,long,38.73,9.463,False
SKU-0055,seek,274.64,5.958,False
SKU-0056,response,10.08,17.486,False
SKU-0057,evidence,990.81,1.031,True
SKU-0058,voice,301.05,24.947,True
SKU-0059,pull,643.1,19.621,True
SKU-0060,answer,659.1,10.252,True
SKU-0061,clear,17.51,10.286,False
SKU-0062,government,887.4,3.553,True
SKU-0063,though,400.03,23.139,True
SKU-0064,product,930.57,10.12,True
SKU-0065,police,359.14,22.579,False
SKU-0066,name,758.59,3.357,False
SKU-0067,Mr,202.77,14.107,True
SKU-0068,we,883.14,19.71,True
SKU-0069,skin,219.11,24.78,False
SKU-0070,director,63.28,15.872,False
SKU-0071,drop,20.36,5.125,False
SKU-0072,quite,404.31,13.015,True
SKU-0073,threat,601.24,21.771,False
SKU-0074,its,121.22,2.685,False
SKU-0075,voice,561.47,12.518,True
SKU-0076,art,689.38,3.507,True
SKU-0077,operation,615.56,17.059,False
SKU-0078,western,946.16,22.475,False
SKU-0079,west,804.75,14.861,False
SKU-0080,analysis,46.76,6.095,True
SKU-0081,wait,571.09,13.687,True
SKU-0082,feel,579.02,10.157,True
SKU-0083,camera,501.91,10.33,False
SKU-0084,step,793.87,22.179,True
SKU-0085,tough,186.78,9.179,True
SKU-0086,there,997.41,8.683,True
SKU-0087,word,568.66,15.694,False
SKU-0088,join,882.2,11.652,True
SKU-0089,pick,538.73,16.474,False
SKU-0090,recent,727.77,10.747,True
SKU-0091,garden,874.01,12.716,False
SKU-0092,choose,219.0,7.275,False
SKU-0093,in,377.81,24.94,True
SKU-0094,rock,155.05,18.395,True
SKU-0095,television,561.38,14.749,True
SKU-0096,popular,890.01,15.425,True
SKU-0097,also,429.22,21.267,False
SKU-0098,past,365.49,13.661,False
SKU-0099,however,853.17,7.175,True
SKU-0100,baby,404.57,8.122,True
SKU-0101,situation,312.36,8.793,True
SKU-0102,role,831.91,24.027,False
SKU-0103,anything,451.54,13.37,True
SKU-0104,recent,167.59,9.655,False
SKU-0105,no,642.25,0.838,True
SKU-0106,receive,588.75,2.001,True
SKU-0107,what,364.0,4.784,True
SKU-0108,social,620.17,1.604,True
SKU-0109,mother,985.15,6.014,False
SKU-0110,glass,479.2,11.104,True
SKU-0111,party,584.92,1.633,False
SKU-0112,yes,667.83,16.537,True
SKU-0113,success,5.62,1.88,True
SKU-0114,still,780.91,4.707,True
SKU-0115,analysis,571.0,16.639,True
SKU-0116,town,132.64,20.087,True
SKU-0117,build,468.69,19.277,False
SKU-0118,poor,984.05,0.727,True
SKU-0119,her,631.31,23.274,False
SKU-0120,around,386.92,2.89,False
SKU-0121,read,829.39,10.711,True
SKU-0122,remain,844.17,1.832,False
SKU-0123,against,960.93,4.2,True
SKU-0124,age,467.52,19.046,True
SKU-0125,fish,720.15,4.284,False
SKU-0126,everything,894.94,15.546,False
SKU-0127,participant,942.16,10.029,True
SKU-0128,pretty,895.61,7.101,False
SKU-0129,civil,362.74,17.051,False
SKU-0130,situation,690.02,9.189,True
SKU-0131,loss,342.61,19.758,True
SKU-0132,drop,928.8,5.511,True
SKU-0133,company,425.06,7.65,True
SKU-0134,dinner,33.04,11.842,False
SKU-0135,service,889.56,6.713,False
SKU-0136,car,313.34,2.844,False
SKU-0137,figure,862.29,9.001,True
SKU-0138,admit,791.58,22.434,False
SKU-0139,car,474.36,17.592,True
SKU-0140,large,38.07,11.747,True
SKU-0141,federal,847.07,21.876,False
SKU-0142,much,44.82,21.665,False
SKU-0143,against,774.38,2.38,False
SKU-0144,likely,526.64,7.945,True
SKU-0145,apply,767.98,13.506,False
SKU-0146,light,35.84,14.715,False
SKU-0147,money,251.58,20.139,False
SKU-0148,fund,201.51,20.492,True
SKU-0149,government,613.03,9.834,False
SKU-0150,probably,116.95,22.95,False
SKU-0151,color,48.41,8.915,False
SKU-0152,father,506.42,15.769,False
SKU-0153,community,31.87,6.426,True
SKU-0154,political,376.76,14.745,True
SKU-0155,seat,990.99,5.066,True
SKU-0156,meet,768.06,16.357,True
SKU-0157,receive,648.84,21.101,True
SKU-0158,item,969.83,15.117,False
SKU-0159,set,948.96,24.972,True
SKU-0160,election,284.9,1.399,True
SKU-0161,world,641.77,14.524,True
SKU-0162,arrive,10.95,8.971,True
SKU-0163,hot,127.18,23.906,True
SKU-0164,close,989.52,16.129,False
SKU-0165,table,664.47,7.638,True
SKU-0166,officer,608.53,16.129,False
SKU-0167,ask,257.31,4.254,False
SKU-0168,operation,556.21,12.216,True
SKU-0169,data,716.08,14.976,True
SKU-0170,include,15.27,22.524,True
SKU-0171,conference,583.21,16.445,False
SKU-0172,detail,370.88,18.969,True
SKU-0173,top,596.0,21.142,True
SKU-0174,detail,16.39,13.894,True
SKU-0175,western,477.79,24.326,False
SKU-0176,account,991.25,10.694,True
SKU-0177,wait,119.63,16.683,True
SKU-0178,sort,188.7,18.791,False
SKU-0179,return,256.18,8.009,False
SKU-0180,worker,96.21,5.95,True
SKU-0181,figure,841.9,3.919,False
SKU-0182,we,558.03,1.685,True
SKU-0183,sell,600.88,16.908,False
SKU-0184,establish,470.79,22.329,True
SKU-0185,rest,477.02,24.217,True
SKU-0186,one,316.48,10.537,True
SKU-0187,since,387.82,4.623,False
SKU-0188,for,963.1,10.944,True
SKU-0189,course,242.23,11.961,False
SKU-0190,send,508.34,8.901,True
SKU-0191,large,207.56,5.557,False
SKU-0192,account,777.97,18.071,True
SKU-0193,table,733.77,7.557,False
SKU-0194,wish,362.63,1.617,False
SKU-0195,responsibility,262.66,4.063,True
SKU-0196,big,438.3,11.535,False
SKU-0197,perform,771.89,22.979,False
SKU-0198,smile,35.68,13.51,True
SKU-0199,customer,632.04,16.145,True
SKU-0200,right,177.7,23.897,True
SKU-0201,PM,932.82,17.389,False
SKU-0202,expert,110.68,14.634,False
SKU-0203,suffer,987.42,5.426,True
SKU-0204,address,332.72,10.371,False
SKU-0205,nice,218.45,9.05,True
SKU-0206,face,882.2,11.226,True
SKU-0207,poor,773.97,3.163,False
SKU-0208,than,128.97,6.02,False
SKU-0209,ready,46.58,17.782,True
SKU-0210,player,646.03,17.796,False
SKU-0211,investment,887.86,14.437,True
SKU-0212,section,240.77,0.428,False
SKU-0213,wonder,357.96,12.707,True
SKU-0214,more,540.82,21.715,False
SKU-0215,decade,238.65,18.575,False
SKU-0216,value,23.92,7.691,True
SKU-0217,star,723.05,4.223,True
SKU-0218,ability,472.27,14.818,True
SKU-0219,court,666.84,21.427,True
SKU-0220,alone,597.87,3.912,True
SKU-0221,return,989.77,24.728,False
SKU-0222,movement,578.84,0.694,False
SKU-0223,relate,350.8,15.505,False
SKU-0224,seat,78.26,19.361,False
SKU-0225,religious,513.5,11.229,False
SKU-0226,allow,880.2,9.984,True
SKU-0227,image,477.5,19.693,False
SKU-0228,range,485.27,22.072,False
SKU-0229,leave,221.38,17.195,True
SKU-0230,positive,331.17,0.601,True
SKU-0231,purpose,635.57,16.663,False
SKU-0232,dark,540.3,21.281,True
SKU-0233,less,199.28,1.304,True
SKU-0234,list,827.67,19.439,False
SKU-0235,class,331.36,7.546,True
SKU-0236,to,935.7,5.642,False
SKU-0237,interview,519.23,12.244,False
SKU-0238,interview,743.8,21.806,True
SKU-0239,represent,936.64,5.604,False
SKU-0240,expert,765.96,4.782,False
SKU-0241,owner,357.23,16.586,False
SKU-0242,whether,510.35,5.63,False
SKU-0243,owner,264.3,9.308,False
SKU-0244,national,892.79,14.9,True
SKU-0245,wish,801.38,7.491,False
SKU-0246,billion,241.91,5.916,False
SKU-0247,interest,343.76,5.774,True
SKU-0248,early,877.19,15.497,True
SKU-0249,sing,968.89,19.454,True
SKU-0250,again,198.21,16.967,True
SKU-0251,reflect,522.69,11.876,True
SKU-0252,effort,354.36,12.32,True
SKU-0253,sea,903.5,7.796,True
SKU-0254,order,270.58,3.54,True
SKU-0255,pass,945.53,15.744,True
SKU-0256,sister,538.27,19.341,True
SKU-0257,space,121.08,1.214,False
SKU-0258,good,965.5,6.863,True
SKU-0259,recent,190.71,15.439,False
SKU-0260,message,664.38,24.203,True
SKU-0261,there,936.15,21.462,True
SKU-0262,figure,62.78,23.468,False
SKU-0263,toward,984.26,0.783,True
SKU-0264,consider,686.85,9.3,True
SKU-0265,measure,457.39,7.855,True
SKU-0266,same,333.25,16.034,False
SKU-0267,rich,466.85,12.013,True
SKU-0268,career,113.93,3.796,True
SKU-0269,anything,183.75,4.696,True
SKU-0270,then,726.37,8.802,False
SKU-0271,subject,728.81,15.173,True
SKU-0272,at,191.05,23.713,True
SKU-0273,old,23.78,16.043,False
SKU-0274,resource,495.74,10.653,True
SKU-0275,increase,974.97,12.302,False
SKU-0276,shoulder,622.47,2.731,True
SKU-0277,bill,672.86,20.445,True
SKU-0278,lead,323.22,3.586,False
SKU-0279,lay,810.17,0.182,True
SKU-0280,wait,558.38,9.793,True
SKU-0281,service,541.8,20.587,True
SKU-0282,attention,229.0,16.75,False
SKU-0283,movement,723.08,3.735,True
SKU-0284,truth,706.73,4.285,False
SKU-0285,two,122.53,21.822,True
SKU-0286,economy,821.77,22.912,True
SKU-0287,arrive,794.87,19.804,False
SKU-0288,poor,219.08,22.779,True
SKU-0289,development,728.07,15.406,False
SKU-0290,decision,210.82,10.709,True
SKU-0291,exist,134.59,3.331,False
SKU-0292,Democrat,503.49,16.485,False
SKU-0293,not,342.83,15.206,True
SKU-0294,increase,869.9,0.17,False
SKU-0295,office,950.68,0.527,False
SKU-0296,hundred,430.22,10.416,True
SKU-0297,entire,34.23,20.142,True
SKU-0298,reality,980.49,11.02,False
SKU-0299,stock,417.1,18.792,True
SKU-0300,evening,564.98,24.187,True
SKU-0301,science,532.15,7.914,True
SKU-0302,glass,666.58,20.761,False
SKU-0303,lay,729.82,11.959,True
SKU-0304,candidate,844.19,24.686,True
SKU-0305,family,182.57,24.99,False
SKU-0306,seek,826.31,17.306,True
SKU-0307,those,843.67,2.908,True
SKU-0308,material,408.66,13.25,True
SKU-0309,reach,918.98,12.976,True
SKU-0310,mean,856.7,24.176,False
SKU-0311,population,880.43,15.462,True
SKU-0312,ok,188.46,13.033,True
SKU-0313,exactly,268.14,20.577,False
SKU-0314,may,333.73,24.501,True
SKU-0315,rule,738.56,6.062,True
SKU-0316,response,119.91,23.458,False
SKU-0317,pressure,314.34,4.078,True
SKU-0318,then,470.3,22.649,True
SKU-0319,happen,17.97,3.442,False
SKU-0320,on,631.77,5.62,False
SKU-0321,these,224.83,20.101,True
SKU-0322,often,726.11,20.765,True
SKU-0323,out,489.75,9.553,True
SKU-0324,window,674.01,9.473,False
