"id";"order_id";"tracking_code";"shipped_at"
"SHP-000001";"ORD-001000";"DHL-DE-78719562";"2026-01-27 02:15"
"SHP-000002";"ORD-001001";"DHL-DE-95322464";"2026-03-27 10:21"
"SHP-000003";"ORD-001002";"DHL-PL-50175675";"2026-03-22 22:47"
"SHP-000004";"ORD-001003";"DHL-DE-49478075";"2026-06-20 03:40"
"SHP-000005";"ORD-001004";"DHL-DE-17420962";"2026-07-04 08:22"
"SHP-000006";"ORD-001005";"DHL-NL-71363509";"2026-04-14 18:54"
"SHP-000007";"ORD-001006";"DHL-DE-53135272";"2026-05-03 15:36"
"SHP-000008";"ORD-001007";"DHL-CH-37167258";"2026-07-26 11:49"
"SHP-000009";"ORD-001008";"DHL-CH-59730504";"2026-03-18 07:29"
"SHP-000010";"ORD-001009";"DHL-FR-46023183";"2026-06-06 05:42"
"SHP-000011";"ORD-001010";"DHL-DE-98671511";"2026-07-29 01:53"
"SHP-000012";"ORD-001011";"DHL-CH-46123187";"2026-07-02 08:12"
"SHP-000013";"ORD-001012";"DHL-DE-21004473";"2026-02-21 05:31"
"SHP-000014";"ORD-001013";"DHL-DE-71842262";"2026-05-29 06:30"
"SHP-000015";"ORD-001014";"DHL-DE-25516929";"2026-04-10 13:28"
"SHP-000016";"ORD-001015";"DHL-FR-14676462";"2026-01-29 04:18"
"SHP-000017";"ORD-001016";"DHL-CH-89065490";"2026-07-28 07:04"
"SHP-000018";"ORD-001017";"DHL-CH-43553900";"2026-05-14 09:42"
"SHP-000019";"ORD-001018";"DHL-NL-32914866";"2026-05-12 15:04"
"SHP-000020";"ORD-001019";"DHL-DE-88497332";"2026-05-18 10:21"
"SHP-000021";"ORD-001020";"DHL-CH-56074246";"2026-05-27 06:56"
"SHP-000022";"ORD-001021";"DHL-DE-32168518";"2026-07-06 14:21"
"SHP-000023";"ORD-001022";"DHL-DE-58841305";"2026-03-06 05:56"
"SHP-000024";"ORD-001023";"DHL-PL-94145197";"2026-08-13 08:31"
"SHP-000025";"ORD-001024";"DHL-DE-35747165";"2026-08-11 18:05"
"SHP-000026";"ORD-001025";"DHL-DE-65474829";"2026-05-26 12:58"
"SHP-000027";"ORD-001026";"DHL-DE-44245307";"2026-04-01 15:00"
"SHP-000028";"ORD-001027";"DHL-FR-47069212";"2026-07-20 02:19"
"SHP-000029";"ORD-001028";"DHL-DE-35970458";"2026-06-05 07:21"
"SHP-000030";"ORD-001029";"DHL-AT-87488126";"2026-07-14 17:16"
"SHP-000031";"ORD-001030";"DHL-AT-10161403";"2026-03-04 16:22"
"SHP-000032";"ORD-001031";"DHL-DE-91871708";"2026-04-27 23:58"
"SHP-000033";"ORD-001032";"DHL-AT-38330729";"2026-04-15 03:44"
"SHP-000034";"ORD-001033";"DHL-AT-89112419";"2026-03-06 12:01"
"SHP-000035";"ORD-001034";"DHL-DE-78235186";"2026-05-20 06:33"
"SHP-000036";"ORD-001035";"DHL-AT-80576014";"2026-03-03 02:00"
"SHP-000037";"ORD-001036";"DHL-AT-32052832";"2026-07-26 07:01"
"SHP-000038";"ORD-001037";"DHL-DE-19012634";"2026-06-26 19:26"
"SHP-000039";"ORD-001038";"DHL-NL-84085150";"2026-03-05 05:09"
"SHP-000040";"ORD-001039";"DHL-NL-42766912";"2026-01-15 09:30"
"SHP-000041";"ORD-001040";"DHL-DE-44193504";"2026-07-19 10:09"
"SHP-000042";"ORD-001041";"DHL-DE-45809412";"2026-06-28 13:03"
"SHP-000043";"ORD-001042";"DHL-DE-57968452";"2026-04-28 15:43"
"SHP-000044";"ORD-001043";"DHL-CH-65672482";"2026-04-12 14:36"
"SHP-000045";"ORD-001044";"DHL-DE-39208810";"2026-03-16 11:41"
"SHP-000046";"ORD-001045";"DHL-AT-67267342";"2026-06-24 10:32"
"SHP-000047";"ORD-001046";"DHL-CH-64094003";"2026-04-27 09:35"
"SHP-000048";"ORD-001047";"DHL-NL-87173409";"2026-03-20 08:00"
"SHP-000049";"ORD-001048";"DHL-DE-73165105";"2026-05-30 11:22"
"SHP-000050";"ORD-001049";"DHL-DE-61379859";"2026-04-30 14:01"
"SHP-000051";"ORD-001050";"DHL-DE-52051393";"2026-03-27 20:40"
"SHP-000052";"ORD-001051";"DHL-DE-68347967";"2026-03-17 20:59"
"SHP-000053";"ORD-001052";"DHL-DE-49236045";"2026-01-16 18:58"
"SHP-000054";"ORD-001053";"DHL-NL-14920918";"2026-08-08 05:33"
"SHP-000055";"ORD-001054";"DHL-NL-44823157";"2026-06-24 12:45"
"SHP-000056";"ORD-001055";"DHL-DE-26273262";"2026-03-24 03:26"
"SHP-000057";"ORD-001056";"DHL-FR-33271724";"2026-05-04 11:19"
"SHP-000058";"ORD-001057";"DHL-DE-16226624";"2026-08-13 13:49"
"SHP-000059";"ORD-001058";"DHL-AT-47170587";"2026-08-09 16:50"
"SHP-000060";"ORD-001059";"DHL-AT-32711157";"2026-02-27 07:06"
"SHP-000061";"ORD-001060";"DHL-CH-63288520";"2026-01-31 17:39"
"SHP-000062";"ORD-001061";"DHL-AT-49038351";"2026-03-23 03:14"
"SHP-000063";"ORD-001062";"DHL-PL-46884524";"2026-07-24 13:39"
"SHP-000064";"ORD-001063";"DHL-FR-69061450";"2026-08-06 12:06"
"SHP-000065";"ORD-001064";"DHL-AT-76785243";"2026-02-02 11:30"
"SHP-000066";"ORD-001065";"DHL-DE-18947908";"2026-03-05 23:40"
"SHP-000067";"ORD-001066";"DHL-DE-18227287";"2026-04-23 19:17"
"SHP-000068";"ORD-001067";"DHL-DE-27933726";"2026-02-01 14:26"
"SHP-000069";"ORD-001068";"DHL-PL-78597557";"2026-03-30 15:45"
"SHP-000070";"ORD-001069";"DHL-AT-82904829";"2026-05-29 13:55"
"SHP-000071";"ORD-001070";"DHL-AT-65442346";"2026-01-18 13:56"
"SHP-000072";"ORD-001071";"DHL-DE-16406407";"2026-01-03 18:13"
"SHP-000073";"ORD-001072";"DHL-DE-56393860";"2026-05-30 05:17"
"SHP-000074";"ORD-001073";"DHL-DE-14762425";"2026-03-30 13:29"
"SHP-000075";"ORD-001074";"DHL-DE-61243055";"2026-01-09 23:51"
"SHP-000076";"ORD-001075";"DHL-DE-68015643";"2026-01-11 15:42"
"SHP-000077";"ORD-001076";"DHL-AT-73665979";"2026-03-14 16:16"
"SHP-000078";"ORD-001077";"DHL-FR-86446366";"2026-04-27 13:16"
"SHP-000079";"ORD-001078";"DHL-DE-74016129";"2026-02-21 06:09"
"SHP-000080";"ORD-001079";"DHL-DE-24149125";"2026-02-17 09:44"
"SHP-000081";"ORD-001080";"DHL-CH-67818375";"2026-05-11 18:55"
"SHP-000082";"ORD-001081";"DHL-DE-95254320";"2026-06-17 04:00"
"SHP-000083";"ORD-001082";"DHL-DE-62934852";"2026-06-08 01:06"
"SHP-000084";"ORD-001083";"DHL-DE-62184949";"2026-08-12 12:08"
"SHP-000085";"ORD-001084";"DHL-DE-87319061";"2026-08-12 05:54"
"SHP-000086";"ORD-001085";"DHL-DE-16946459";"2026-05-23 08:04"
"SHP-000087";"ORD-001086";"DHL-DE-95972384";"2026-07-29 08:52"
"SHP-000088";"ORD-001087";"DHL-AT-40119265";"2026-05-01 23:53"
"SHP-000089";"ORD-001088";"DHL-AT-61527056";"2026-01-28 04:37"
"SHP-000090";"ORD-001089";"DHL-FR-68075583";"2026-02-20 15:21"
"SHP-000091";"ORD-001090";"DHL-CH-25897913";"2026-08-07 00:07"
"SHP-000092";"ORD-001091";"DHL-DE-95860947";"2026-07-17 08:45"
"SHP-000093";"ORD-001092";"DHL-CH-78335947";"2026-05-20 18:47"
"SHP-000094";"ORD-001093";"DHL-DE-10631750";"2026-05-27 18:03"
"SHP-000095";"ORD-001094";"DHL-DE-44831813";"2026-07-10 00:48"
"SHP-000096";"ORD-001095";"DHL-AT-89534206";"2026-02-26 23:51"
"SHP-000097";"ORD-001096";"DHL-DE-47198132";"2026-07-06 02:55"
"SHP-000098";"ORD-001097";"DHL-NL-82511319";"2026-05-19 05:10"
"SHP-000099";"ORD-001098";"DHL-DE-10418434";"2026-01-06 03:57"
"SHP-000100";"ORD-001099";"DHL-DE-45610163";"2026-08-12 17:36"
"SHP-000101";"ORD-001100";"DHL-AT-69183834";"2026-06-16 14:08"
"SHP-000102";"ORD-001101";"DHL-DE-74039838";"2026-05-08 20:36"
"SHP-000103";"ORD-001102";"DHL-AT-13094211";"2026-04-09 06:06"
"SHP-000104";"ORD-001103";"DHL-FR-61128077";"2026-01-31 10:46"
"SHP-000105";"ORD-001104";"DHL-DE-78419420";"2026-05-09 16:00"
"SHP-000106";"ORD-001105";"DHL-AT-25831512";"2026-01-26 06:03"
"SHP-000107";"ORD-001106";"DHL-CH-46444218";"2026-02-06 22:37"
"SHP-000108";"ORD-001107";"DHL-DE-58037803";"2026-06-02 06:51"
"SHP-000109";"ORD-001108";"DHL-DE-44432101";"2026-06-26 09:01"
"SHP-000110";"ORD-001109";"DHL-DE-99473669";"2026-06-14 11:49"
"SHP-000111";"ORD-001110";"DHL-NL-62657602";"2026-07-05 14:47"
"SHP-000112";"ORD-001111";"DHL-DE-86331470";"2026-05-29 02:14"
"SHP-000113";"ORD-001112";"DHL-DE-96741112";"2026-03-04 08:10"
"SHP-000114";"ORD-001113";"DHL-DE-47443959";"2026-03-01 00:57"
"SHP-000115";"ORD-001114";"DHL-DE-64748628";"2026-01-20 21:25"
"SHP-000116";"ORD-001115";"DHL-DE-68067030";"2026-03-25 12:20"
"SHP-000117";"ORD-001116";"DHL-DE-56399283";"2026-07-07 11:10"
"SHP-000118";"ORD-001117";"DHL-AT-27596245";"2026-05-20 15:23"
"SHP-000119";"ORD-001118";"DHL-FR-30660995";"2026-04-17 12:57"
"SHP-000120";"ORD-001119";"DHL-DE-54710951";"2026-06-28 03:41"
"SHP-000121";"ORD-001120";"DHL-DE-59234233";"2026-04-21 03:49"
"SHP-000122";"ORD-001121";"DHL-DE-38863539";"2026-01-15 13:38"
"SHP-000123";"ORD-001122";"DHL-AT-88186331";"2026-05-22 02:53"
"SHP-000124";"ORD-001123";"DHL-DE-24407617";"2026-05-04 06:27"
"SHP-000125";"ORD-001124";"DHL-CH-25533384";"2026-07-20 20:48"
"SHP-000126";"ORD-001125";"DHL-FR-77737089";"2026-08-13 13:41"
"SHP-000127";"ORD-001126";"DHL-NL-39747278";"2026-05-06 23:59"
"SHP-000128";"ORD-001127";"DHL-DE-69571503";"2026-04-18 00:33"
"SHP-000129";"ORD-001128";"DHL-PL-29162421";"2026-03-12 19:57"
"SHP-000130";"ORD-001129";"DHL-AT-17879459";"2026-01-01 22:09"
"SHP-000131";"ORD-001130";"DHL-DE-47646685";"2026-02-16 11:17"
"SHP-000132";"ORD-001131";"DHL-DE-46775532";"2026-04-27 02:10"
"SHP-000133";"ORD-001132";"DHL-AT-83765597";"2026-03-04 08:19"
"SHP-000134";"ORD-001133";"DHL-CH-45445910";"2026-01-31 12:52"
"SHP-000135";"ORD-001134";"DHL-FR-12750295";"2026-03-04 05:00"
"SHP-000136";"ORD-001135";"DHL-CH-21945714";"2026-07-01 22:34"
