id	order_id	product_sku	quantity	line_note
ITM-00000001	ORD-001000	SKU-0078	1	1 x SKU-0078
ITM-00000002	ORD-001000	SKU-0003	1	1 x SKU-0003
ITM-00000003	ORD-001001	SKU-0064	5	5 x SKU-0064
ITM-00000004	ORD-001001	SKU-0080	3	3 x SKU-0080
ITM-00000005	ORD-001001	SKU-0021	4	4 x SKU-0021
ITM-00000006	ORD-001001	SKU-0030	5	5 x SKU-0030
ITM-00000007	ORD-001002	SKU-0027	2	2 x SKU-0027
ITM-00000008	ORD-001002	SKU-0010	4	4 x SKU-0010
ITM-00000009	ORD-001002	SKU-0026	2	2 x SKU-0026
ITM-00000010	ORD-001003	SKU-0051	2	2 x SKU-0051
ITM-00000011	ORD-001003	SKU-0011	2	2 x SKU-0011
ITM-00000012	ORD-001003	SKU-0025	5	5 x SKU-0025
ITM-00000013	ORD-001004	SKU-0079	4	4 x SKU-0079
ITM-00000014	ORD-001005	SKU-0043	4	4 x SKU-0043
ITM-00000015	ORD-001005	SKU-0049	1	1 x SKU-0049
ITM-00000016	ORD-001006	SKU-0052	4	4 x SKU-0052
ITM-00000017	ORD-001006	SKU-0072	4	4 x SKU-0072
ITM-00000018	ORD-001007	SKU-0056	2	2 x SKU-0056
ITM-00000019	ORD-001007	SKU-0032	4	4 x SKU-0032
ITM-00000020	ORD-001007	SKU-0010	2	2 x SKU-0010
ITM-00000021	ORD-001007	SKU-0075	3	3 x SKU-0075
ITM-00000022	ORD-001008	SKU-0037	1	1 x SKU-0037
ITM-00000023	ORD-001008	SKU-0024	2	2 x SKU-0024
ITM-00000024	ORD-001008	SKU-0058	5	5 x SKU-0058
ITM-00000025	ORD-001009	SKU-0016	3	3 x SKU-0016
ITM-00000026	ORD-001009	SKU-0031	3	3 x SKU-0031
ITM-00000027	ORD-001009	SKU-0059	1	1 x SKU-0059
ITM-00000028	ORD-001010	SKU-0002	1	1 x SKU-0002
ITM-00000029	ORD-001010	SKU-0034	1	1 x SKU-0034
ITM-00000030	ORD-001011	SKU-0016	4	4 x SKU-0016
ITM-00000031	ORD-001011	SKU-0055	1	1 x SKU-0055
ITM-00000032	ORD-001012	SKU-0072	1	1 x SKU-0072
ITM-00000033	ORD-001012	SKU-0076	3	3 x SKU-0076
ITM-00000034	ORD-001013	SKU-0066	1	1 x SKU-0066
ITM-00000035	ORD-001014	SKU-0039	5	5 x SKU-0039
ITM-00000036	ORD-001014	SKU-0004	1	1 x SKU-0004
ITM-00000037	ORD-001014	SKU-0080	2	2 x SKU-0080
ITM-00000038	ORD-001014	SKU-0072	4	4 x SKU-0072
ITM-00000039	ORD-001015	SKU-0007	1	1 x SKU-0007
ITM-00000040	ORD-001015	SKU-0004	4	4 x SKU-0004
ITM-00000041	ORD-001016	SKU-0053	5	5 x SKU-0053
ITM-00000042	ORD-001016	SKU-0021	3	3 x SKU-0021
ITM-00000043	ORD-001016	SKU-0075	1	1 x SKU-0075
ITM-00000044	ORD-001016	SKU-0054	5	5 x SKU-0054
ITM-00000045	ORD-001017	SKU-0079	3	3 x SKU-0079
ITM-00000046	ORD-001017	SKU-0043	2	2 x SKU-0043
ITM-00000047	ORD-001018	SKU-0044	5	5 x SKU-0044
ITM-00000048	ORD-001018	SKU-0059	2	2 x SKU-0059
ITM-00000049	ORD-001019	SKU-0027	5	5 x SKU-0027
